Chuyên Viên/ Chuyên Gia Quản Trị Cơ Sở Dữ Liệu (DBA) - Tại Hà Nội,"- Tốt nghiệp Đại học trở lên chuyên ngành CNTT hoặc bằng cấp tương đương.- Kinh nghiệm làm việc: tối thiểu làm 02 năm về Database Oracle, Microsoft SQL, MySQL .- Có kinh nghiệm cài đặt và quản trị Hadoop là một lợi thế.- Có kinh nghiệm làm việc với Database NoSQL như HBase, Casandra, hoặc MognoDB là một lợi thế.- Có kinh nghiệm làm việc tích hợp data với nhiều loại data sources.- Có kinh nghiệm làm việc quản trị các phần mềm hệ thống Middleware như WebLogic, JBOSS, Tomcat, IIS.- Am hiểu mô hình hoạt động của các hệ thống web.- Có Các bằng cấp/ chứng chỉ như: OCA và OCP là một lợi thế.- Có khả năng phối hợp nhóm tốt - Chịu được áp lực công việc, chấp nhận trực, theo dõi hệ thống và xử lý sự cố bất cứ khi nào.- Có kỹ năng nghiên cứu, phân tích, xử lý vấn đề- Có tính tuân thủ cao, nghiêm túc thực hiện đúng theo quy trình quản trị"
Software Tester,"Ít nhất 1 năm kinh nghiệm trong phát triển phần mềmCó kinh nghiệm xây dựng quy trình Test Plan tổng thể, thực hiện TestTiếng Anh đọc hiểu tốtCó ham muốn tìm hiểu, thử nghiệm cái mới về chuyên môn và phát triển đội nhómCó tinh thần đòi hỏi sản phẩm làm ra có độ hoàn thiện cao"
Nhân Viên Seo Web Du Lịch,"• Trình độ học vấn : Cao đẳng/ Đại học• Có kinh nghiệm SEO• Sử dụng tốt các công cụ hỗ trợ SEO như Google Analystics, Google Webmaster Tools, v.v.• Hiểu và phân tích được các chỉ số để đưa ra các phương pháp cải thiện website• Nhanh nhạy, nắm bắt xu hướng các thay đổi thuật toán• Nhiệt tình, chăm chỉ, có trách nhiệm với công việc"
Nhân Viên Tester,"- Có ít nhất 01 năm kinh nghiệm làm việc tại vị trí tương đương.- Tốt nghiệp Đại học ngành CNTT, Toán tin, Điện tử viễn thông.- Sử dụng thành thạo các công cụ test và quản lý lỗi.- Hiểu biết về quy trình Test, chiến lược và kỹ thuật test phần mềm... lập tài liệu test tốt.- Chủ động, sáng tạo, nhiệt tình, trách nhiệm trong công việc, có tư duy logic tốt.- Cẩn thận, tỉ mỉ, cần cù, nhanh nhẹn, sức khỏe tốt, có khả năng làm việc độc lập hoặc nhóm với cường độ cao.- Sẵn sàng làm thêm giờ khi có yêu cầu.- Kỹ năng giao tiếp tốt, có khả năng quản lý thời gian.- Ưu tiên:   + Các ứng viên đã làm việc theo quy trình phần mềm, có hiểu biết về hệ thống kiểm soát chất lượng phần mềm, QA, QC.   + Các ứng viên có kinh nghiệm test ứng dụng trên Mobile, web.   + Có kỹ năng đọc/viết tài liệu kỹ thuật bằng tiếng Anh."
Intern Business Analyst Fulltime,"Là sinh viên từ đại học chuyên ngành kinh tế, thương mại, tài chính hoặc các chuyên ngành khác liên quanSử dụng Microsoft Office thành thạoƯu tiên có khả năng sử dụng một số phần mềm phục vụ cho quá trình phát triển: Draw io, Figma, Balsamiq, Jira...Có tư duy logic tốtƯu tiên các bạn có kinh nghiệm, kiến thức trong phát triển sản phẩm công nghệHam học hỏi, nghiên cứu, phân tích, có chính kiến trong công việcƯu tiện các bạn có thể làm việc đa nhiệmHiểu biết về Agile Scrum là một lợi thế"
Embedded System Developer,"Có kiến thức về lập trình hướng đối tượng;Tốt nghiệp Cao đẳng/ Đại học chuyên ngành Điện, Tự động hóa, Điện tử, Cơ tin... Kinh nghiệm ở vị trí lập trình nhúng từ 3 nămƯu tiên có kinh nghiệm lập trình nhúng cho các thiết bị điện tử, điện lạnh, gia dụng hoặc vi điều khiển, ESP MCU, Arduino, Mediatek, Qualcomm;Ưu tiên kinh nghiệm với AWS IoTCore, MQTT, Media Streaming, FOTA, Voice Recognition;Nắm vững và sử dụng thành thạo C/C++ và Shell. Có khả năng lập trình Python là lợi thế;Có kiến thức và kinh nghiệm làm việc với Linux kernel, Drivers;Có khả năng làm việc độc lập và làm việc nhóm.Khả năng làm việc tốt trong môi trường tốc độ cao, quy trình quản lý Agile."
IT Comtor (Tiếng Hàn),"Tiếng Hàn Topik 5 trở lênCó từ dưới 1 năm kinh nghiệm làm việc với vị trí IT Comtor hoặc kinh nghiệm trong ngành CNTT (developer, BA, sales...) chuyên thị trường Hàn QuốcTù 2 năm kinh nghiệm  làm việc tại các vị trí liên quan ngôn ngữ Hàn Việt, Việt Hàn. Có kỹ năng giao tiếp tốt, trình bày vấn đề logic.Có khả năng lập kế hoạch và quản lý tốtỨng viên từng sinh sống và làm việc tại Hàn Quốc là điểm cộng"
Nhân Viên Hỗ Trợ Kinh Doanh,"Kinh nghiệm 2,3 năm ở vị trí tương đương. Ứng viên được đào tạo các ngành Luật, Vận tải/Logistics, Kinh tế,...Thành thạo soạn thảo văn bản Word, Excel Ưu tiên ứng viên đã làm việc với phần mềm ERPNăng động, giao tiếp tốt, làm việc teamwork tốt, trung thực, ham học hỏi"
.Net Team Leader,"-Hiểu biết về kiến trúc phần mềm và an toàn bảo mật cho phần mềm-Hiểu biết sâu sắc về lập trình pattern-Hiểu biết về cluster, load ballancing-Hiểu biết về lập trình .Net Web API, .Net MVC, .Net Core-Hiểu biết về HTML5/CSS3, Javascript, jQuery, Bootstrap-Hiểu biết về cơ sở dữ liệu SQL Server, Oracle, My SQL: Tự thiết kế cơ sở dữ liệu, viết store procedure, function và các script phức tạp-Hiểu biết về lập trình cache như memcahed, inmemory cache, redis cache-Hiểu biết về việc sử dụng các công cụ quản lý source như svn, git hoặc tfs-Khả năng tối ưu hóa thuật toán, script-Hiểu biết với .Net membership, Microsoft AD, Open Ldap-Có hiểu biết về KPI, Digital Signing, Elastic Search, cloud-Có hiểu biết về cloud, sử dụng docker, kubernetes thành thạo-Có kinh nghiệm và kiến thức đối với các nền tảng tích hợp như Identity & Access Management, API Management, BPMChúng tôi tìm kiếm các ứng viên:– Có kỹ năng quản lý nhóm– Có khả năng lập kế hoạch cho nhóm– Tự nghiên cứu công nghệ mới và áp dụng cho team– Tự phân tích yêu cầu, thiết kế kiến trúc phần mềm– Có khả năng thuyết trình công nghệ cho team, ban giám đốc– Có kỹ năng báo cáo, tổng hợp về công nghệ– Có khả năng đọc hiểu tiếng Anh và gửi mail, chat tiếng Anh với đối tác tốt"
DevOps Engineer (Senior),"• 5+ years experience with Cloud Providers like OVH, Scaleway,… (Experience with GCP, AWP, Azure is plus point)• Experience in managing Cloud Infrastructure, including databases, replication, load balancers, web servers, CDN, and CICD.• Configuration management tool: Ansible, Chef, Terraform.• CICD system: Jenkins, Gitlab CI, GitHub Actions.• Container orchestration: Docker and Kubernetes• Microservice architecture.• Speak English fluently, French is a plusNice to have:• Databases: PostgreSQL, MongoDB, Cassandra, Opensearch• Queue system: RabbitMQ, Pulsar• GitOps: ArgoCDSoft skills:• Ability to work effectively in an international team with diverse cultural traditions.• Ability to independently decompose a task and bring the work to completion.• Genuine interest in the entire product development process, recognizing that you play a pivotal role in creating a tool that streamlines business processes for users.• You prioritize the goal of creating a top-notch product, valued by users for its convenience and simplicity.• Willingness to actively contribute to and engage with the open-source community, as well as participate in specialized conferences."
