Mid MTS (Mobile Trading System) Developer - Android/iOS,"Minimum 2-3 years of professional experience in mobile app development using JavaScript or iOS/Android native., Experience and knowledge in markup language, including HTML, CSS is a must., Ability to write clean, easy to understand code., Solid understanding of the full mobile development life cycle, Familiarity with version control systems, such as Git or SVN., Familiarity with issues tracking tools, such as Redmine., Strong problem-solving and analytical skills., Bachelor's Degree in Computer Science/Information Technology or relevant fields., Able to communicate in English, written and spoken (processed by English interview)., Strong communication skills and teamwork, international experience is preferred., Experience operating in an Agile environment, with a deep understanding of agile development principles., Over 1 year of experience in developing securities solutions, including a smartphone-based trading platform utilizing the Mobile Trading System (MTS), Proficient in utilizing the Mobile development Framework (Ionic, PhoneGap, React, Vue, Nexacro), Experience on working with oversea team., Supporting IT Development and Maintenance of the Stock Trading Platform developed based on the Kiwoom Framework for Kiwoom Indonesia, Finansia (in Thailand), and so on, Providing training and education experience in Korea with Korean Finance/IT expert , Providing opportunitites to work and support in IT/Finance fields overseas"
[Freelance] [12-20 USD/hour] - Senior Mobile Developer,"Experience: Minimum of 5 years of professional experience in mobile application development., Technical Skills: (MUST HAVE ALL)

Native Development: Proven experience in developing and maintaining native mobile applications.
Kotlin: Strong expertise in Kotlin for Android development.
Swift: Proficient in Swift for iOS development.

"
iOS Developer,"Tốt nghiệp Đại học chuyên ngành Công nghệ thông tin, Khoa học máy tính hoặc các ngành liên quan., Nắm chắc kiến thức về data structures & algorithms, biết khái niệm cơ bản về phân tích độ phức tạp của thuật toán., Hiểu biết vững chắc về object-oriented programming concepts., Tối thiểu 2~3 năm kinh nghiệm phát triển IOS bằng Objective-C / Swift, Kiến thức vững chắc về iOS frameworks (Eg. Core Data, Core Animation, etc.) Apple’s design principles, và cách xử lý các kích thước màn hình khác nhau, Có kinh nghiệm sử dụng API RESTful để kết nối ứng dụng IOS với các dịch vụ phụ trợ, Kinh nghiệm về offline storage, threading, và performance tuning, Có kinh nghiệm sử dụng cloud message APIs và push notifications, Có kinh nghiệm về continuous integration, Có kinh nghiệm với cơ sở dữ liệu (MySQL, Oracle, Postgre, MongoDB, etc.) , Có hiểu biết cơ bản với các phương pháp phát triển phần mềm., Kỹ năng phân tích và giải quyết vấn đề. , Kỹ năng teamwork tốt. , Ngoại ngữ tốt là một lợi thế ( tiếng Anh, tiếng Nhật ). , Có khả năng làm việc trong môi trường áp lực lớn."
"HCMC - Solution Architect (Java, Good English)","Over 5 years of professional experience in a Developer role., More than 5 years of hands-on experience with technologies including Java, Spring Boot, Spring MVC, React JS, TypeScript, MS SQL Server, Redis Cache, and Azure Cloud Services., Over 4 years of experience in software development, specifically with AKS, CI/CD, Docker, Azure DevOps, and Jenkins., Proficient in English., A strong passion for software development"
DevOps Manager / Senior DevOps,"Bachelor degree or diploma in Computer Science/Information Technology or other STEM field. , Minimum of 4 years of working experience in DevOps (or 6 years, to be considered for DevOps Manager role) having played a team management role in previous experience is a plus (required to be  considered for DevOps Manager role) , Experience in designing and implementing DevOps processes., Sound knowledge in Jenkins, Groovy, shell scripting and python. , Experience in developing DevOps functions. , Working experience in Linux systems (RHEL or its equivalent, Ubuntu, etc.) and container  technologies , Ability to travel when required , Knowledge in DevOps infrastructure and prior exposure to Information Security related fields will  be an added advantage , A strong self-starter and able to work with minimal supervision. , Guide and mentor team members. , Ability to work in a dynamic, fast moving and growing environment. , Critical thinker, with strong problem identifying and solving skills. , Team player with great interpersonal and communication skills. , Able to be on standby support when required. , Keep informed on new technologies in DevOps relevant fields. , Proactively seek deeper understanding on DevOps relevant subject matters. , Good English communication for technology related topics in technical detail. , Honesty, integrity and commitment  , Positive attitude and self-motivated  , Shows respect to everyone  , Self-organised and has courage to implement positive ideas , Commitment to highest quality possible and focus on customer satisfaction"
Android Developer,"Có trên 4 năm kinh nghiệp phát triển app., Có thể đi công tác ngắn hạn tại nước ngoài, không có vấn đề về xuất nhập cảnh., Có sự hiểu biết về Java và Kotlin, có kinh nghiệm phát triển app bằng Kotlin và Java., Thành thạo về kết nối Restful API., Có kinh nghiệm vận hành, cải thiện và theo dõi liên tục app trước và sau khi ra mắt. , Luôn tích cực, chủ động test, review code, đưa ra các phương án và thiết kế Architecture nhằm nâng cao chất lượng sản phẩm., Luôn lập trình hướng đến người dùng và trải nghiệm người dùng. , Người có kinh nghiệm và khả năng phát triển web trên Node.js., Người có kinh nghiệm phát triển các service liên quan đến vị trí, không gian sử dụng bản đồ. , Người có kinh nghiệm phát triển bằng Unity 3D hoặc có thể sử dụng thành thạo phần mềm này. , Người có kinh nghiệm phát triển Web App, Hybrid App. "
Middle/Senior Fullstack (NodeJS/React Native),"React Native & Front-end Development: 3+ years of experience with React Native, Redux, ES6, and React Navigation. Expertise in state management (Redux, Context, etc.), lifecycle, hooks, and performance optimization. Familiar with native build tools (XCode, Gradle), GIT, and Agile. Skilled in debugging and deploying apps to Google Play and App Store. Experience with large codebases, third-party integrations, and native modules., Back-end Development: 3+ years of experience in JavaScript, NodeJS (ExpressJS, NestJS), and database design (SQL, NoSQL). Proficient in deploying NodeJS applications, API design (GraphQL, RESTful), and integrating third-party services. Knowledgeable in CI/CD, unit testing, scaling applications, and server management (Nginx, HAProxy)., Strong problem-solving, analytical skills, and experience with mobile performance, accessibility, and cross-functional teams., Proactive and committed to self-improvement and exploring new technologies., Familiarity with servers, caching strategies, and English language certification is a plus."
"Lập trình viên Frontend và Mobile app (Nuxt, hybrid Apps) tối thiểu 3 năm kinh nghiệm","Tối thiểu 3 năm kinh nghiệm làm việc với Nuxt và Vuejs, 1 năm kinh nghiệm phát triển ứng dụng hybrid cho iOS và Android (ví dụ: Ionic, React Native), Thành thạo HTML5, CSS3, và JavaScript/TypeScript., Hiểu biết sâu sắc về Vue ecosystem (Vuex, Vue Router, Vue CLI), Kinh nghiệm làm việc với RESTful APIs, Kiến thức về responsive design, mobile-first approach và cross-browser compatibility, Familiar với version control systems (như Git), Kỹ năng tối ưu hóa hiệu suất frontend, Khả năng làm việc độc lập và trong môi trường nhóm, Tư duy giải quyết vấn đề và kỹ năng giao tiếp tốt."
DevOps Manager / Senior DevOps,"Bachelor degree or diploma in Computer Science/Information Technology or other STEM field. , Minimum of 4 years of working experience in DevOps (or 6 years, to be considered for DevOps Manager role) having played a team management role in previous experience is a plus (required to be  considered for DevOps Manager role) , Experience in designing and implementing DevOps processes., Sound knowledge in Jenkins, Groovy, shell scripting and python. , Experience in developing DevOps functions. , Working experience in Linux systems (RHEL or its equivalent, Ubuntu, etc.) and container  technologies , Ability to travel when required , Knowledge in DevOps infrastructure and prior exposure to Information Security related fields will  be an added advantage , A strong self-starter and able to work with minimal supervision. , Guide and mentor team members. , Ability to work in a dynamic, fast moving and growing environment. , Critical thinker, with strong problem identifying and solving skills. , Team player with great interpersonal and communication skills. , Able to be on standby support when required. , Keep informed on new technologies in DevOps relevant fields. , Proactively seek deeper understanding on DevOps relevant subject matters. , Good English communication for technology related topics in technical detail. , Honesty, integrity and commitment  , Positive attitude and self-motivated  , Shows respect to everyone  , Self-organised and has courage to implement positive ideas , Commitment to highest quality possible and focus on customer satisfaction"
Expert Data Scientist,"Tốt nghiệp các trường Đại học/Cao đẳng về chuyên ngành CNTT; có bằng cấp/chứng chỉ liên quan đến Khoa học dữ liệu, Khoa học máy tính là một lợi thế, Kinh nghiệm: Tối thiểu từ 05 năm kinh nghiệm làm về mảng Khoa học dữ liệu (Data Scientist), Sử dụng thành thạo đối với các ngôn ngữ khoa học dữ liệu như Python, R hoặc Julia cũng như kiểm soát phiên bản CI như GitHub hoặc GitLab..., Sử dụng thành thạo các framework của máy học (ML) như scikit-learn, xgboost/lightgbm/catboost và có kinh nghiệm với một trong các framework của học sâu (DL) như: PyTorch, fastai, Tensorflow/Keras, MXNet, Có kinh nghiệm sâu sắc trong việc xây dựng đường dẫn dữ liệu, mô hình đào tạo và suy luận trên môi trường bị ô nhiễm như Docker hoặc tích hợp các mô hình máy học (ML) với API để dự đoán theo thời gian thực, Có kinh nghiệm với hệ sinh thái Cloud AWS như S3, RedShift, Lambda, EC2 là một lợi thế"
